,TEST DATASET,Introduction,Summary
556,557,"Arbitel-MT 25 Tablet ER is a medicine used for treating high blood pressure. By lowering the blood pressure, it helps in preventing future heart attack and stroke. Early treatment with this medicine also improves chances of survival in patients of heart attack.It is advised to take Arbitel-MT 25 Tablet ER with food at a fixed time each day to maintain consistent levels of medicine in the blood. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.Some common side effects of this medicine include headache, weakness, dizziness, decreased blood pressure, and increased potassium level in blood. It is advised to avoid potassium rich food and supplements while taking this medicine. It may cause dizziness, avoid driving or rise slowly from the sitting position. You may be asked for regular monitoring of blood pressure, blood sugar level, kidney functioning, urea, or electrolytes level during the treatment.Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.It is advised to avoid potassium rich food and supplements while taking this medicine.It may cause dizziness, avoid driving or rise slowly from the sitting position."
557,558,"Antiflu 12mg/ml Syrup is an antiviral medicine used to treat and prevent influenza (flu) as well as, swine flu (H1N1 virus). It helps to relieve the symptoms of the flu virus infection like a stuffy or runny nose, sore throat, cough, body aches, tiredness, headache, fever, and chills.Antiflu 12mg/ml Syrup prevents the flu virus from spreading inside the body. Influenza, commonly known as flu is an infection caused by a virus. This medicine should be taken only when prescribed by a doctor. It should be used in the dose and duration as advised by your doctor. It can be taken with or without food, although taking it with food can reduce the chance of feeling or being sick (nausea or vomiting).Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medication too early may result in a relapse of the infection or failure to protect you from the flu.Some common side effects include nausea, vomiting, stomach pain, and diarrhea. These side effects mostly occur after the first dose of the medicine and will usually stop as treatment continues. Please consult your doctor if these side effects persist for a longer duration.Before taking it, tell your doctor if you have problems with your heart, liver or kidneys. Avoid drinking alcohol as it may increase your risk of liver damage. Pregnant or breastfeeding mothers should consult their doctor before using this medicine.","Pregnant or breastfeeding mothers should consult their doctor before using this medicine.Influenza, commonly known as flu is an infection caused by a virus.It helps to relieve the symptoms of the flu virus infection like a stuffy or runny nose, sore throat, cough, body aches, tiredness, headache, fever, and chills.Antiflu 12mg/ml Syrup prevents the flu virus from spreading inside the body."
558,559,"Ascodex Cough Syrup is a combination medicine used to treat cough. It thins the mucus in the nose and windpipe, making it easier to cough out.Ascodex Cough Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, indigestion, bloating, upset stomach, diarrhea, headache, and sweating. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can make sleepiness worse.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before you start taking this medicine it is important to inform your doctor if you are suffering from any lung, liver or kidney disease. You should also tell your doctor if you are pregnant or planning a pregnancy.",Ascodex Cough Syrup is a combination medicine used to treat cough.Most of these are temporary and usually resolve with time.It is beneficial to have plenty of fluids while taking this medication.
559,560,"Alkaliser Syrup is a medicine used in the treatment of gout and kidney stones. It stops the production of uric acid in the body and reduces the episodes of gout attack and prevent kidney stones.Alkaliser Syrup can be taken with or without food. This will prevent you from getting an upset stomach. Take it regularly and do not stop taking the medicine even if you get better until that doctor tell you it is alright to stop.The most common side effect of this medicine is stomach pain. It may also cause diarrhea, excessive production of urine, tiredness, etc. If any of these side effects does not resolve with time or get worsen, you should let your doctor know. Your doctor may help with ways to reduce or prevent these symptoms by reducing the dose or prescribing an alternative medicine.To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. Also tell your doctor if you have any problems with your heart, kidneys, or liver. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.","Alkaliser Syrup is a medicine used in the treatment of gout and kidney stones.If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.This will prevent you from getting an upset stomach."
560,561,"Atchol 20 Tablet belongs to a group of medicines called statins. It is used to lower cholesterol and to reduce the risk of heart disease. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke.Atchol 20 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice. It can be taken with a meal or on an empty stomach. You can take it at any time of the day but try to take it at the same time each day. Most people with high cholesterol do not feel ill, but stopping your medicine may increase your cholesterol levels, making your condition worse and increasing your risk of heart disease and stroke.It is important to have your cholesterol levels checked regularly. This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. You can eat normally while taking this medicine, but try to avoid foods that are high in fat. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. These are usually mild and disappear after a short time. Consult your doctor if they persist or if you notice any yellowing of your eyes or get repeated or unexplained muscle pains. This medicine should not be used in some conditions such as liver disease. Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Your doctor may check your liver function before starting the treatment and monitor it regularly thereafter.","Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain.It can be taken with a meal or on an empty stomach.Consult your doctor if they persist or if you notice any yellowing of your eyes or get repeated or unexplained muscle pains."
561,562,"Apdrops KT 0.4 Eye Drops is a combination of two medicines. It is used in treating infection of the eyes. It relieves pain, itching, discomfort and irritation caused by infection. It also stops the growth of the infection-causing microorganisms.Apdrops KT 0.4 Eye Drops is strictly advised to use only in the eyes. Use it in the dose and duration advised by your doctor. Apply it only on the affected eye. You must wash your hand before administering the medicine. Do not use it more than the recommended dose.It is generally safe, but it may sometimes cause irritation, tingling sensation, discomfort, and pain in the eyes. These effects are mild and go away in sometime but if they stay for a long duration, you should consult the doctor immediately.","It relieves pain, itching, discomfort and irritation caused by infection.Apdrops KT 0.4 Eye Drops is a combination of two medicines.You must wash your hand before administering the medicine."
562,563,"Ambrican 5 Tablet is a prescription medicine used to treat pulmonary arterial hypertension (high pressure in the blood vessels that carry blood from the heart to the lungs). It even helps to improve your quality of life, exercising ability and delay in disease progression.This medication may be taken with or without food and It is better to take it in a dose and duration as advised by the doctor. In case, you have missed any dose than it is better to take another one as soon as you remember it.  Dizziness may occur as its side effect, so do not drive or do anything that requires mental focus.","Ambrican 5 Tablet is a prescription medicine used to treat pulmonary arterial hypertension (high pressure in the blood vessels that carry blood from the heart to the lungs).In case, you have missed any dose than it is better to take another one as soon as you remember it.Dizziness may occur as its side effect, so do not drive or do anything that requires mental focus."
563,564,"Azac Soap is a topical medication used in the treatment of acne (pimples). It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria.Azac Soap is for external use only. You should always use it exactly as your doctor has told you. The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased. If your condition goes on for longer than four weeks or gets worse at any time, let your doctor know. You can help this medicine work better by keeping the affected areas clean.Azac Soap has a few potential side effects but not everyone will get them. These may include application site reactions like burning, irritation, itching, and redness. Serious allergic reaction to this drug is rare but let your doctor know if you’re bothered by side effects or they do not go away. Make sure you read the instructions that come with your medicine. Avoid contact with eyes. In case of accidental contact, you should rinse eyes thoroughly with water.If you are pregnant, breastfeeding, or plan to become pregnant, you should consult your doctor before using this medicine as it may cause side effects that could be harmful to the developing baby.","Azac Soap is a topical medication used in the treatment of acne (pimples).The affected area should be clean and dry before application.It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria.Azac Soap is for external use only."
564,565,"Amaryl 3mg Tablet is a medicine used to treat type 2 diabetes mellitus in adults. It belongs to a group of medicines called sulfonylureas and helps control blood sugar levels in people with diabetes. This helps to prevent serious complications of diabetes like kidney damage and blindness.Amaryl 3mg Tablet may be used alone or along with other medicines. It should be taken just before or with the first meal of the day. Take it regularly at the same time each day to get the maximum benefit. Your doctor will decide what dose is best for you and this may change from time to time according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effects of taking this medicine include low blood sugar levels (hypoglycemia), nausea, headache, and dizziness. Make sure you recognize the signs of having low blood sugar levels, such as sweating, dizziness, headache, and shaking, and know how to deal with them. To prevent this, it is important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and hence should be avoided. Some people may experience an increase in weight with this medicine.You should not take it if you have type 1 diabetes mellitus, diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease, thyroid disease, or some hormonal conditions, as it may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.",It should be taken just before or with the first meal of the day.Pregnant or breastfeeding women should also consult their doctor before taking it.Amaryl 3mg Tablet is a medicine used to treat type 2 diabetes mellitus in adults.
565,566,"Allercet-M Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. It also reduces inflammation in the airways and make breathing easier.Allercet-M Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, diarrhea, vomiting, dryness in mouth, headache, skin rash, flu-like symptoms, and fatigue. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before you start taking this medicine it is important to inform your doctor if you are suffering from kidney disease.","Allercet-M Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness.Most of these are temporary and usually resolve with time.It is beneficial to have plenty of fluids while taking this medication."
566,567,"Azibact 200 Readymix Oral Suspension is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever and some sexually transmitted diseases like gonorrhea.Azibact 200 Readymix Oral Suspension is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection.Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects worry you or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.",These are usually temporary and subside with the completion of treatment.It should be used regularly at evenly spaced time intervals as prescribed by your doctor.Pregnant or breastfeeding women should consult their doctor before using this medicine.
567,568,"Aziwok 200 Liquid Mango is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever and some sexually transmitted diseases like gonorrhea.Aziwok 200 Liquid Mango is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection.Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects worry you or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.",These are usually temporary and subside with the completion of treatment.Pregnant or breastfeeding women should consult their doctor before using this medicine.It should be used regularly at evenly spaced time intervals as prescribed by your doctor.
568,569,"Advent 457mg Tablet DT is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria. It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. It will not work for viral infections such as the common cold.Advent 457mg Tablet DT is best taken with a meal to reduce the chance of a stomach upset. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back or worsen.The most common side effects of this medicine include vomiting, nausea, and diarrhea. These are usually mild but let your doctor know if they bother you or will not go away.Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. This medicine is generally regarded as safe to use during pregnancy and breastfeeding if prescribed by a doctor.","It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue.You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor.Advent 457mg Tablet DT is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria."
569,570,"Asthakind LS Expectorant Cola Sugar Free is a combination medicine used in the treatment of cough with mucus. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. It also provides relief from runny nose, sneezing, itching, and watery eyes.Asthakind LS Expectorant Cola Sugar Free is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, diarrhea, stomach pain, vomiting, muscle cramp, headache, skin rash, and increased heart rate. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can make sleepiness worse.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","It thins mucus in the nose, windpipe and lungs, making it easier to cough out.Most of these are temporary and usually resolve with time.Asthakind LS Expectorant Cola Sugar Free is a combination medicine used in the treatment of cough with mucus."
570,571,"Amitone Plus Tablet is a combination of two medicines. It is used in the treatment of depression associated with anxiety. It helps in regulating mood and to reduce anxiety.Amitone Plus Tablet is taken with or without food. However, it is advised to take it at a fixed time each day to maintain a consistent level of medicine in the blood. In case you miss a dose of this medicine, take it as soon as you remember. Never skip any dose and finish the full course of treatment even if you feel better. It is important that this medication is not stopped suddenly without talking to the doctor as it may worsen your symptoms. Taking this medicine for a long time may require regular monitoring of blood and liver functions.Some common side effects of this medicine include constipation, difficulty in urination, weight gain, confusion, orthostatic hypotension (sudden lowering of blood pressure on standing). This medicine may cause weight loss. In case of losing weight, consult a dietitian for dietary supplements or try to increase your food portion. Most of the common side effects tend to be mild. Your doctor may be able to suggest ways of preventing or reducing side effects if they bother you or do not go away. Serious side effects are rare. Remember to inform your doctor if you develop any unusual changes in mood as it may lead to suicidal thoughts.Take caution while taking medicine if you are suffering from liver disease. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Inform your doctor if you are pregnant, planning pregnancy or breastfeeding.","Inform your doctor if you are pregnant, planning pregnancy or breastfeeding.Amitone Plus Tablet is a combination of two medicines.Most of the common side effects tend to be mild."
571,572,"Atorlip 20 Tablet belongs to a group of medicines called statins. It is used to lower cholesterol and to reduce the risk of heart disease. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke.Atorlip 20 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice. It can be taken with a meal or on an empty stomach. You can take it at any time of the day but try to take it at the same time each day. Most people with high cholesterol do not feel ill, but stopping your medicine may increase your cholesterol levels, making your condition worse and increasing your risk of heart disease and stroke.It is important to have your cholesterol levels checked regularly. This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. You can eat normally while taking this medicine, but try to avoid foods that are high in fat. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. These are usually mild and disappear after a short time. Consult your doctor if they persist or if you notice any yellowing of your eyes or get repeated or unexplained muscle pains. This medicine should not be used in some conditions such as liver disease. Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Your doctor may check your liver function before starting the treatment and monitor it regularly thereafter.","Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain.It can be taken with a meal or on an empty stomach.Consult your doctor if they persist or if you notice any yellowing of your eyes or get repeated or unexplained muscle pains."
572,573,"Alorti Tablet belongs to a group of medicines called antihistamines. It is used in the treatment of various allergic conditions. It relieves symptoms like itching, swelling and rashes.Alorti Tablet should be taken on an empty stomach. The dose may vary depending on what you are taking it for. Take it as it has been prescribed by your doctor. You may need this medicine only on days you have symptoms, or you may need to take it every day to prevent symptoms from happening. If you stop taking it earlier than advised, your symptoms may come back.  This medicine is generally very safe.As compared to other similar medications, it is much less likely to make you feel sleepy. But, it may cause some amount of dizziness, so do not drive or do anything that needs attention. Consult your doctor if it persists or worry you. It may cause headache or increase appetite in some cases. Before taking it, you should tell your doctor if you have any problems with your liver or kidneys or with your heart.Pregnant or breastfeeding women should also consult with their doctor before taking it. Avoid drinking alcohol as it can cause excessive drowsiness with this medicine.","Alorti Tablet belongs to a group of medicines called antihistamines.Consult your doctor if it persists or worry you.It relieves symptoms like itching, swelling and rashes.Alorti Tablet should be taken on an empty stomach."
573,574,"Alaspan AG Syrup is a combination medicine used in the treatment of cough with mucus. It relieves allergic symptoms such as sneezing, running nose, watery eyes, itching, swelling, and congestion or stiffness. It also thins and loosens mucus, making it easier to cough out.Alaspan AG Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, diarrhea, stomach pain, headache, and rash. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can make dizziness worse.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking it, you should tell your doctor if you have any kidney and liver diseases. Pregnant or breastfeeding women should also consult their doctor before taking this medicine.","It relieves allergic symptoms such as sneezing, running nose, watery eyes, itching, swelling, and congestion or stiffness.Most of these are temporary and usually resolve with time.Alaspan AG Syrup is a combination medicine used in the treatment of cough with mucus."
574,575,"Amoxyclav 375 Tablet is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria. It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. It will not work for viral infections such as the common cold.Amoxyclav 375 Tablet is best taken with a meal to reduce the chance of a stomach upset. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back or worsen.The most common side effects of this medicine include vomiting, nausea, and diarrhea. These are usually mild but let your doctor know if they bother you or will not go away.Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. This medicine is generally regarded as safe to use during pregnancy and breastfeeding if prescribed by a doctor.","It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue.You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor.Amoxyclav 375 Tablet is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria."
575,576,"Antidep 25mg Tablet is known as a tricyclic antidepressant. It is used to treat depression and bedwetting in children of age 6 years and above. It is also effective in treating depression that is unresponsive to other treatments. Antidep 25mg Tablet works by increasing the levels of chemical messengers in the brain that stabilizes and enhances the mood. It is better to take it before bedtime because it can make you feel drowsy. It can be taken with or without food, but you should take it at a fixed time each day for better efficacy. The dose and duration will be decided by your doctor so that you get the right amount to control your symptoms. If you have missed any dose, take it as soon as you remember it. Do not skip any dose and finish the full course of treatment even if you feel better. This medication must not be stopped suddenly without talking to the doctor. Your dose may be modified or gradually decreased before stopping the medication.The most common side effects of this medicine include increased heart rate, blurred vision, dryness in the mouth, difficulty in urination and constipation. Initially, this medicine may also cause a sudden drop in blood pressure, especially when you change positions. It may even cause dizziness and sleepiness, do not drive or do anything that requires mental focus until you know how this medicine affects you. To lower the chances of dizziness, rise slowly if you have been sitting or lying down. It may also lead to weight gain in some people. Most of the common side effects tend to be mild and temporary. Your doctor may be able to suggest ways of preventing or reducing side effects if they bother you or do not go away. Serious side effects associated with this medicine are rare.Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same or any other diseases. Pregnant and breastfeeding women should take this medicine with proper consultation and caution. This medicine is not known to be addictive, but you can experience additional side effects (withdrawal symptoms) if you stop taking it suddenly. If you notice any sudden mood change or get suicidal or self-harm thoughts, you must consult the doctor without delay. Also, remember to take this medicine as advised by the doctor as an overdose of this medication may lead to a serious health emergency. Consumption of alcohol should be avoided as alcohol interacts with this medicine to cause serious health issues.","Antidep 25mg Tablet is known as a tricyclic antidepressant.To lower the chances of dizziness, rise slowly if you have been sitting or lying down.Antidep 25mg Tablet works by increasing the levels of chemical messengers in the brain that stabilizes and enhances the mood."
576,577,"Aclopar 100mg/500mg Tablet is a pain relieving medicine. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat.Aclopar 100mg/500mg Tablet should be taken with or without food. You should take it regularly as advised by your doctor. Your doctor may change the dose and time between doses according to your pain level and your needs. Do not take more or use it for a longer duration than recommended by your doctor.Some of the common side effects of this medicine include nausea, vomiting, stomach pain, loss of appetite, heartburn, and diarrhea. If any of these side effects bother you or do not go away with time, you should let your doctor know. Your doctor may help you with ways to reduce or prevent these side effects by prescribing an alternative medicine or adjusting the dose.The medicine may not be suitable for everybody. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Pregnant and breastfeeding mothers should first consult their doctors before using this medicine.","It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis.Aclopar 100mg/500mg Tablet is a pain relieving medicine.You should take it regularly as advised by your doctor."
577,578,"Aricep 10 Tablet is used to treat mild to moderate dementia in Alzheimer’s disease, a progressive illness which gradually affects memory and thinking. It does not cure this illnesses but may help improve memory, awareness and other symptoms.Your doctor will explain how to take Aricep 10 Tablet and give you the one most suitable for you. Follow the instructions carefully to get the most benefit. The dose may change from time to time to suit your individual needs. You may take it with food, preferably at night before going to bed. It can take up to few weeks for symptoms to improve so keep taking your medicine regularly. You should not stop taking this medicine without consulting your doctor.Some common side effects of this medicine include diarrhea, nausea, and vomiting. Drink plenty of fluids to keep yourself hydrated. Some people may experience insomnia (sleeplessness), dizziness and hallucinations. You may have side effects more often when you start your treatment or when your dose is increased. Usually, the side effects will slowly go away as your body gets used to the Aricep 10 Tablet. If they are severe or will not go away, you should  contact your doctor.Before using Aricep 10 Tablet, you should tell your doctor if you have ever had heart problems, stomach ulcer, epilepsy or asthma. It may also affect, or be affected by, some other drugs you are using so let your doctor know what these are to be safe. During pregnancy this medicine should only be taken if it is advised.","Drink plenty of fluids to keep yourself hydrated.Some people may experience insomnia (sleeplessness), dizziness and hallucinations.Follow the instructions carefully to get the most benefit."
578,579,"Aquaviron Injection 1ml is a medicine used in the treatment of male hypogonadism caused due to low testosterone levels. It is only prescribed to the men with known medical conditions. It helps in restoring the level of testosterone in the male body.Aquaviron Injection 1ml is injected directly into the skin or muscles under the medical supervision of a doctor. It should be taken as your doctor's advice. The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms. You should take this medicine for as long as it is prescribed for you.The most common side effects of this medicine include acne, breast enlargement, deepening of voice and Injection site reactions (pain, swelling, redness). If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them.  Some side effects may mean you should stop taking this medicine shortness of breath, frequent or persistent erections, and low sperm count.Before taking this medicine, tell your doctor if you have ever had high blood pressure, heart attack, and stroke. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Your doctor might perform regular blood tests to keep track of testosterone, and prostate specific antigen (PSA) levels.","There may be ways of reducing or preventing them.It should be taken as your doctor's advice.If these bother you or appear serious, let your doctor know."
579,580,"Apxenta Tablet is used in the treatment of moderate to severe plaque psoriasis which is a type of skin condition. This medicine is used when other conventional treatments cannot be used or if the patient is not responsive or intolerant to any of these treatments. Apxenta Tablet can be taken with or without food. Take it regularly and do not stop taking the medicine even if you get better until that doctor tells you it is alright to stop. You may need to monitor your weight regularly while taking the medicine as it may cause weight loss.Using this medicine may cause few common side effects such as nausea, diarrhea, and vomiting. If these side effects persist or get worse, let your doctor know. Your doctor may help with ways to reduce or prevent these symptoms by prescribing you an alternative medicine or by adjusting the dose.To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.","Apxenta Tablet is used in the treatment of moderate to severe plaque psoriasis which is a type of skin condition.If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.This medicine is used when other conventional treatments cannot be used or if the patient is not responsive or intolerant to any of these treatments."
